Exercise_ID,Exercise_Name,Body_Part,Condition,Equipment,Reps_Sets,Duration,Intensity_Level,Goal
1452,Hamstring Curl,Back,Stiffness,Chair,5x9,15 min,Medium,Reduce pain
1453,Hip Abduction,Hip,Arthritis,Chair,2x13,16 min,Medium,Improve circulation
1454,Knee Extensions,Ankle,Post Fracture,Wall,2x13,23 min,High,Rehabilitation
1455,Arm Circles,Ankle,Post Fracture,Chair,3x15,16 min,Medium,Improve mobility
1456,Toe Raises,Shoulder,Lower Back Pain,None,5x18,8 min,Low,Improve circulation
1457,Lunges,Leg,Post Surgery,Resistance Band,4x17,6 min,Low,Rehabilitation
1458,Calf Raises,Arm,Post Surgery,Mat,4x16,12 min,Low,Strengthen muscles
1459,Seated Marching,Arm,Chronic Pain,Wall,3x20,24 min,Medium,Strengthen muscles
1460,Arm Circles,Ankle,Lower Back Pain,Mat,4x12,17 min,Medium,Improve circulation
1461,Ankle Pumps,Wrist,Chronic Pain,Wall,2x10,24 min,Low,Rehabilitation
1462,Ankle Pumps,Core,Stroke Recovery,Mat,4x10,16 min,High,Reduce pain
1463,Hip Abduction,Arm,Stroke Recovery,Chair,3x16,8 min,Medium,Reduce pain
1464,Heel Slides,Shoulder,Chronic Pain,Chair,4x13,16 min,Low,Improve circulation
1465,Seated Marching,Ankle,Post Fracture,Mat,3x19,24 min,Medium,Improve circulation
1466,Wall Push-Ups,Neck,Post Surgery,Ball,5x17,21 min,Low,Improve balance
1467,Bridging,Wrist,Sports Injury,Chair,4x20,15 min,High,Reduce pain
1468,Ankle Pumps,Core,Sports Injury,Wall,2x9,10 min,Medium,Increase flexibility
1469,Trunk Rotation,Knee,Mobility Issue,Mat,4x11,17 min,Medium,Improve balance
1470,Neck Stretch,Wrist,Chronic Pain,Resistance Band,4x11,16 min,Medium,Rehabilitation
1471,Quad Sets,Ankle,Chronic Pain,None,4x18,10 min,High,Reduce pain
1472,Bridging,Leg,Chronic Pain,Chair,3x20,11 min,High,Improve balance
1473,Neck Stretch,Shoulder,Mobility Issue,Dumbbell,4x13,9 min,High,Strengthen muscles
1474,Heel Slides,Neck,Sports Injury,Mat,2x10,11 min,High,Increase flexibility
1475,Pelvic Tilt,Leg,Post Fracture,Mat,3x17,19 min,Low,Improve balance
1476,Sit to Stand,Neck,Muscle Weakness,Resistance Band,2x13,12 min,Low,Increase flexibility
1477,Ankle Pumps,Leg,Post Surgery,Chair,4x15,5 min,Medium,Increase flexibility
1478,Bridging,Neck,Post Surgery,Ball,2x13,9 min,Medium,Strengthen muscles
1479,Toe Raises,Knee,Arthritis,Mat,5x15,21 min,Low,Rehabilitation
1480,Neck Stretch,Neck,Mobility Issue,Chair,4x10,17 min,High,Improve mobility
1481,Heel Slides,Core,Lower Back Pain,Ball,3x11,20 min,Low,Strengthen muscles
1482,Pelvic Tilt,Core,Sports Injury,Ball,3x11,9 min,High,Strengthen muscles
1483,Heel Slides,Back,Post Fracture,Ball,3x12,8 min,Medium,Strengthen muscles
1484,Neck Stretch,Neck,Post Surgery,Dumbbell,5x9,23 min,Low,Improve mobility
1485,Wall Push-Ups,Leg,Post Fracture,Mat,4x15,18 min,Medium,Improve circulation
1486,Hamstring Curl,Core,Stiffness,Chair,5x8,5 min,High,Increase flexibility
1487,Quad Sets,Ankle,Arthritis,Mat,2x18,15 min,Medium,Improve circulation
1488,Lunges,Shoulder,Stiffness,None,4x13,23 min,Medium,Improve balance
1489,Hamstring Curl,Neck,Sports Injury,Wall,2x13,16 min,Medium,Improve mobility
1490,Ankle Pumps,Core,Lower Back Pain,Mat,5x18,11 min,Low,Improve circulation
1491,Neck Stretch,Hip,Arthritis,Chair,4x11,18 min,High,Improve mobility
1492,Hamstring Curl,Shoulder,Stroke Recovery,None,2x8,22 min,High,Improve circulation
1493,Wrist Flexion,Knee,Chronic Pain,Ball,5x13,20 min,Low,Rehabilitation
1494,Calf Raises,Hip,Stiffness,Ball,4x17,9 min,Low,Improve balance
1495,Wrist Flexion,Neck,Stroke Recovery,Dumbbell,5x10,16 min,Low,Improve circulation
1496,Calf Raises,Leg,Muscle Weakness,Ball,4x11,18 min,High,Strengthen muscles
1497,Toe Raises,Neck,Lower Back Pain,Resistance Band,2x19,15 min,High,Improve balance
1498,Quad Sets,Core,Post Fracture,Ball,3x12,21 min,High,Strengthen muscles
1499,Wrist Flexion,Hip,Arthritis,Dumbbell,4x18,14 min,High,Improve mobility
1500,Neck Stretch,Arm,Post Fracture,Dumbbell,4x17,15 min,High,Strengthen muscles
1501,Knee Extensions,Knee,Muscle Weakness,Resistance Band,2x16,19 min,Low,Improve balance
1502,Lunges,Arm,Lower Back Pain,None,3x15,9 min,High,Improve mobility
1503,Hip Abduction,Ankle,Stiffness,Ball,5x13,8 min,Medium,Improve mobility
1504,Heel Slides,Hip,Post Fracture,Dumbbell,3x9,15 min,Low,Strengthen muscles
1505,Pelvic Tilt,Wrist,Stiffness,Dumbbell,4x16,11 min,Low,Improve balance
1506,Pelvic Tilt,Back,Lower Back Pain,Ball,2x9,18 min,Medium,Improve mobility
1507,Shoulder Flexion,Core,Arthritis,Mat,3x17,9 min,Medium,Rehabilitation
1508,Lunges,Shoulder,Post Fracture,Chair,4x20,20 min,Medium,Improve circulation
1509,Quad Sets,Wrist,Chronic Pain,Resistance Band,5x19,10 min,Low,Strengthen muscles
1510,Shoulder Flexion,Wrist,Post Fracture,None,4x10,21 min,Low,Improve circulation
1511,Knee Extensions,Hip,Stiffness,None,3x9,6 min,Medium,Improve circulation
1512,Pelvic Tilt,Knee,Post Fracture,Resistance Band,5x17,12 min,Low,Improve mobility
1513,Sit to Stand,Core,Post Fracture,Mat,2x17,14 min,Low,Improve balance
1514,Calf Raises,Hip,Post Fracture,Dumbbell,3x10,5 min,High,Improve circulation
1515,Wrist Flexion,Core,Stroke Recovery,Dumbbell,2x18,15 min,Low,Improve mobility
1516,Knee Extensions,Shoulder,Chronic Pain,Mat,2x11,24 min,Low,Improve circulation
1517,Seated Marching,Shoulder,Lower Back Pain,Mat,5x14,17 min,High,Strengthen muscles
1518,Ankle Pumps,Wrist,Mobility Issue,Resistance Band,2x16,22 min,Low,Improve circulation
1519,Toe Raises,Arm,Post Fracture,Resistance Band,5x10,18 min,Low,Reduce pain
1520,Arm Circles,Knee,Lower Back Pain,None,2x18,8 min,Low,Improve mobility
1521,Knee Extensions,Back,Chronic Pain,Resistance Band,3x12,18 min,High,Improve balance
1522,Finger Stretch,Leg,Stiffness,Chair,5x9,18 min,High,Improve balance
1523,Bridging,Knee,Post Fracture,Wall,5x18,18 min,Medium,Improve circulation
1524,Pelvic Tilt,Neck,Chronic Pain,Ball,4x18,18 min,Low,Rehabilitation
1525,Finger Stretch,Shoulder,Stiffness,None,2x17,15 min,High,Rehabilitation
1526,Bridging,Shoulder,Lower Back Pain,Mat,3x17,19 min,Low,Improve mobility
1527,Trunk Rotation,Back,Post Fracture,Mat,2x14,6 min,Low,Rehabilitation
1528,Lunges,Back,Arthritis,Chair,3x8,10 min,Low,Rehabilitation
1529,Heel Slides,Shoulder,Post Surgery,Mat,4x9,22 min,Medium,Rehabilitation
1530,Calf Raises,Core,Stroke Recovery,Ball,2x16,5 min,Low,Improve mobility
1531,Wrist Flexion,Back,Chronic Pain,Resistance Band,3x14,22 min,High,Improve balance
1532,Arm Circles,Knee,Mobility Issue,Ball,4x18,9 min,High,Rehabilitation
1533,Finger Stretch,Ankle,Post Fracture,Chair,3x10,8 min,High,Increase flexibility
1534,Seated Marching,Hip,Sports Injury,None,2x18,23 min,Medium,Improve mobility
1535,Pelvic Tilt,Core,Stiffness,Wall,2x15,5 min,High,Increase flexibility
1536,Quad Sets,Hip,Stiffness,Chair,5x18,18 min,Medium,Increase flexibility
1537,Neck Stretch,Shoulder,Post Surgery,Resistance Band,2x11,24 min,Medium,Improve circulation
1538,Shoulder Flexion,Knee,Arthritis,Wall,2x11,8 min,Medium,Reduce pain
1539,Pelvic Tilt,Knee,Stroke Recovery,Dumbbell,4x13,12 min,Medium,Increase flexibility
1540,Bridging,Back,Lower Back Pain,Wall,4x10,19 min,High,Improve mobility
1541,Seated Marching,Core,Stroke Recovery,Wall,4x13,5 min,Medium,Improve circulation
1542,Pelvic Tilt,Shoulder,Post Fracture,Dumbbell,3x11,8 min,High,Improve circulation
1543,Seated Marching,Neck,Stroke Recovery,Ball,4x12,20 min,Low,Improve circulation
1544,Quad Sets,Knee,Mobility Issue,Ball,2x13,6 min,High,Strengthen muscles
1545,Seated Marching,Knee,Arthritis,Dumbbell,3x18,18 min,Low,Strengthen muscles
1546,Sit to Stand,Wrist,Mobility Issue,Wall,4x17,20 min,High,Reduce pain
1547,Heel Slides,Neck,Mobility Issue,Mat,4x14,14 min,Low,Increase flexibility
1548,Lunges,Arm,Stroke Recovery,Wall,2x17,9 min,Medium,Increase flexibility
1549,Wrist Flexion,Shoulder,Post Fracture,Dumbbell,2x16,8 min,High,Improve balance
1550,Neck Stretch,Shoulder,Mobility Issue,Resistance Band,2x16,16 min,Low,Strengthen muscles
1551,Lunges,Wrist,Stroke Recovery,Ball,5x15,17 min,Low,Reduce pain
1552,Hamstring Curl,Core,Stiffness,Dumbbell,3x9,22 min,Low,Increase flexibility
1553,Pelvic Tilt,Ankle,Sports Injury,Chair,5x19,8 min,Medium,Improve mobility
1554,Finger Stretch,Back,Arthritis,Resistance Band,4x10,21 min,High,Reduce pain
1555,Hip Abduction,Core,Muscle Weakness,Wall,3x12,20 min,High,Improve circulation
1556,Sit to Stand,Core,Mobility Issue,Chair,4x12,24 min,High,Improve balance
1557,Sit to Stand,Arm,Mobility Issue,None,3x9,8 min,High,Improve balance
1558,Hamstring Curl,Back,Arthritis,Resistance Band,4x19,8 min,High,Improve mobility
1559,Knee Extensions,Hip,Post Surgery,Dumbbell,5x11,13 min,High,Rehabilitation
1560,Hamstring Curl,Leg,Sports Injury,Dumbbell,4x11,5 min,Medium,Increase flexibility
1561,Pelvic Tilt,Knee,Lower Back Pain,Wall,3x14,18 min,Low,Improve balance
1562,Arm Circles,Leg,Post Surgery,Ball,4x17,9 min,Medium,Reduce pain
1563,Pelvic Tilt,Shoulder,Chronic Pain,Mat,2x12,8 min,Medium,Increase flexibility
1564,Ankle Pumps,Hip,Mobility Issue,Ball,3x12,12 min,High,Improve balance
1565,Neck Stretch,Knee,Lower Back Pain,Wall,4x17,6 min,High,Rehabilitation
1566,Wrist Flexion,Shoulder,Lower Back Pain,Wall,5x16,18 min,Medium,Improve balance
1567,Lunges,Wrist,Stiffness,Ball,3x9,7 min,High,Improve mobility
1568,Calf Raises,Arm,Chronic Pain,Dumbbell,2x9,5 min,Low,Strengthen muscles
1569,Shoulder Flexion,Wrist,Post Surgery,Wall,3x9,25 min,High,Improve mobility
1570,Trunk Rotation,Shoulder,Chronic Pain,Ball,4x17,21 min,Medium,Rehabilitation
1571,Finger Stretch,Leg,Mobility Issue,Dumbbell,5x19,19 min,High,Reduce pain
1572,Seated Marching,Core,Sports Injury,Resistance Band,5x19,25 min,Low,Rehabilitation
1573,Neck Stretch,Wrist,Sports Injury,Chair,5x17,7 min,High,Increase flexibility
1574,Pelvic Tilt,Knee,Stiffness,Ball,3x9,9 min,Medium,Improve mobility
1575,Shoulder Flexion,Neck,Chronic Pain,None,2x15,20 min,High,Improve balance
1576,Heel Slides,Core,Mobility Issue,Resistance Band,2x9,20 min,High,Improve circulation
1577,Toe Raises,Neck,Stroke Recovery,Chair,5x20,12 min,Medium,Reduce pain
1578,Pelvic Tilt,Knee,Stroke Recovery,Ball,4x14,13 min,Medium,Strengthen muscles
1579,Seated Marching,Shoulder,Lower Back Pain,Mat,2x19,6 min,Medium,Rehabilitation
1580,Arm Circles,Leg,Stiffness,Wall,4x15,10 min,High,Strengthen muscles
1581,Wall Push-Ups,Wrist,Mobility Issue,Ball,5x15,13 min,Low,Strengthen muscles
1582,Sit to Stand,Knee,Sports Injury,None,5x17,6 min,Medium,Reduce pain
1583,Sit to Stand,Wrist,Sports Injury,Ball,4x11,25 min,High,Improve mobility
1584,Trunk Rotation,Ankle,Arthritis,Wall,5x14,8 min,Low,Strengthen muscles
1585,Calf Raises,Shoulder,Stroke Recovery,Ball,2x9,14 min,Low,Increase flexibility
1586,Arm Circles,Back,Stroke Recovery,Resistance Band,5x14,15 min,Low,Improve circulation
1587,Trunk Rotation,Hip,Stroke Recovery,Chair,4x19,5 min,High,Strengthen muscles
1588,Pelvic Tilt,Arm,Lower Back Pain,Mat,4x11,24 min,High,Reduce pain
1589,Shoulder Flexion,Knee,Post Fracture,Wall,5x8,7 min,Low,Rehabilitation
1590,Trunk Rotation,Shoulder,Sports Injury,Mat,5x17,16 min,Low,Improve balance
1591,Trunk Rotation,Shoulder,Stroke Recovery,Mat,2x13,19 min,Medium,Improve mobility
1592,Toe Raises,Core,Post Fracture,Ball,5x11,5 min,Medium,Improve balance
1593,Toe Raises,Shoulder,Chronic Pain,Wall,2x11,20 min,High,Increase flexibility
1594,Knee Extensions,Back,Arthritis,Resistance Band,5x11,22 min,Low,Strengthen muscles
1595,Arm Circles,Hip,Stroke Recovery,None,5x15,20 min,Low,Reduce pain
1596,Seated Marching,Wrist,Post Fracture,Mat,5x14,13 min,Medium,Strengthen muscles
1597,Arm Circles,Ankle,Mobility Issue,Dumbbell,3x9,9 min,Medium,Improve balance
1598,Seated Marching,Arm,Arthritis,Ball,2x13,8 min,Low,Improve circulation
1599,Knee Extensions,Ankle,Muscle Weakness,Mat,5x16,21 min,Medium,Rehabilitation
1600,Sit to Stand,Wrist,Stiffness,Mat,5x14,11 min,High,Increase flexibility
1601,Arm Circles,Arm,Mobility Issue,Chair,5x8,19 min,Low,Rehabilitation
1602,Wall Push-Ups,Ankle,Post Fracture,None,2x13,15 min,Low,Rehabilitation
1603,Seated Marching,Leg,Chronic Pain,Wall,4x10,16 min,Low,Reduce pain
1604,Trunk Rotation,Leg,Stiffness,Dumbbell,4x16,23 min,Low,Improve mobility
1605,Wrist Flexion,Back,Arthritis,Ball,5x12,13 min,High,Strengthen muscles
1606,Pelvic Tilt,Core,Lower Back Pain,Resistance Band,2x9,11 min,Low,Increase flexibility
1607,Shoulder Flexion,Core,Stiffness,Wall,4x15,8 min,Low,Strengthen muscles
1608,Neck Stretch,Leg,Muscle Weakness,Wall,5x15,17 min,Low,Improve balance
1609,Pelvic Tilt,Arm,Lower Back Pain,None,5x12,20 min,Medium,Improve mobility
1610,Arm Circles,Back,Arthritis,Dumbbell,2x10,22 min,High,Improve balance
1611,Finger Stretch,Core,Lower Back Pain,Mat,2x15,13 min,High,Improve balance
1612,Bridging,Shoulder,Sports Injury,None,3x18,9 min,Low,Improve balance
1613,Wrist Flexion,Knee,Mobility Issue,Ball,2x9,22 min,Low,Increase flexibility
1614,Arm Circles,Knee,Stiffness,Chair,2x8,20 min,Low,Improve mobility
1615,Quad Sets,Arm,Mobility Issue,Ball,3x20,25 min,Medium,Reduce pain
1616,Wrist Flexion,Knee,Lower Back Pain,Mat,4x18,18 min,Medium,Reduce pain
1617,Lunges,Leg,Mobility Issue,Dumbbell,2x12,10 min,High,Improve mobility
1618,Pelvic Tilt,Leg,Lower Back Pain,None,3x14,18 min,Low,Improve circulation
1619,Toe Raises,Arm,Muscle Weakness,Resistance Band,4x16,10 min,High,Improve circulation
1620,Hamstring Curl,Back,Arthritis,Wall,3x8,14 min,Medium,Improve mobility
1621,Calf Raises,Leg,Stroke Recovery,Ball,3x15,7 min,High,Increase flexibility
1622,Shoulder Flexion,Hip,Lower Back Pain,None,5x14,13 min,High,Improve circulation
1623,Bridging,Core,Stiffness,Wall,5x13,5 min,Medium,Strengthen muscles
1624,Wrist Flexion,Wrist,Lower Back Pain,Dumbbell,4x18,22 min,Medium,Increase flexibility
1625,Heel Slides,Leg,Muscle Weakness,Ball,3x19,11 min,High,Rehabilitation
1626,Sit to Stand,Back,Lower Back Pain,Ball,3x8,20 min,Low,Improve mobility
1627,Wrist Flexion,Core,Stroke Recovery,Mat,5x20,13 min,High,Improve balance
1628,Trunk Rotation,Knee,Post Fracture,Chair,2x20,9 min,Medium,Reduce pain
1629,Shoulder Flexion,Leg,Chronic Pain,Ball,2x12,6 min,Low,Improve balance
1630,Finger Stretch,Ankle,Mobility Issue,Dumbbell,4x8,13 min,Low,Reduce pain
1631,Trunk Rotation,Back,Stiffness,Chair,2x9,12 min,Medium,Improve balance
1632,Calf Raises,Hip,Stiffness,Ball,5x18,22 min,High,Strengthen muscles
1633,Calf Raises,Ankle,Chronic Pain,Wall,5x9,23 min,Medium,Increase flexibility
1634,Toe Raises,Leg,Lower Back Pain,None,2x17,21 min,Low,Rehabilitation
1635,Arm Circles,Neck,Lower Back Pain,Wall,4x20,6 min,Medium,Increase flexibility
1636,Calf Raises,Hip,Sports Injury,Wall,4x15,19 min,Low,Improve balance
1637,Trunk Rotation,Knee,Stroke Recovery,Dumbbell,2x17,14 min,Low,Increase flexibility
1638,Lunges,Hip,Stroke Recovery,Resistance Band,3x13,12 min,Medium,Improve mobility
1639,Hip Abduction,Wrist,Lower Back Pain,Chair,3x14,13 min,High,Reduce pain
1640,Bridging,Neck,Stiffness,Dumbbell,4x8,5 min,High,Improve balance
1641,Ankle Pumps,Shoulder,Post Fracture,Mat,5x10,21 min,Low,Increase flexibility
1642,Neck Stretch,Wrist,Post Fracture,Mat,2x17,19 min,Low,Improve balance
1643,Wall Push-Ups,Shoulder,Sports Injury,Ball,5x15,14 min,High,Improve balance
1644,Shoulder Flexion,Wrist,Chronic Pain,None,5x8,24 min,Medium,Rehabilitation
1645,Hamstring Curl,Neck,Stiffness,Mat,3x17,12 min,High,Reduce pain
1646,Wall Push-Ups,Neck,Post Fracture,Resistance Band,2x11,24 min,Low,Improve balance
1647,Shoulder Flexion,Back,Chronic Pain,Ball,3x16,10 min,High,Rehabilitation
1648,Knee Extensions,Core,Arthritis,Mat,3x15,21 min,Low,Improve mobility
1649,Wall Push-Ups,Shoulder,Chronic Pain,Mat,2x12,22 min,Medium,Improve circulation
1650,Sit to Stand,Leg,Arthritis,Resistance Band,3x19,19 min,Medium,Improve balance
1651,Arm Circles,Leg,Lower Back Pain,Wall,4x19,25 min,Medium,Improve balance
1652,Bridging,Core,Sports Injury,Ball,5x15,22 min,Low,Strengthen muscles
1653,Shoulder Flexion,Back,Muscle Weakness,Resistance Band,4x20,14 min,Medium,Strengthen muscles
1654,Trunk Rotation,Shoulder,Post Surgery,Mat,3x16,6 min,High,Strengthen muscles
1655,Toe Raises,Leg,Muscle Weakness,Dumbbell,5x18,6 min,High,Rehabilitation
1656,Pelvic Tilt,Arm,Stroke Recovery,Dumbbell,4x16,15 min,Medium,Strengthen muscles
1657,Sit to Stand,Ankle,Arthritis,Dumbbell,3x20,8 min,Low,Improve balance
1658,Finger Stretch,Wrist,Post Surgery,Ball,2x18,19 min,Low,Reduce pain
1659,Shoulder Flexion,Wrist,Chronic Pain,Chair,5x15,9 min,Low,Improve circulation
1660,Toe Raises,Leg,Chronic Pain,None,3x14,17 min,Medium,Rehabilitation
1661,Quad Sets,Arm,Sports Injury,Resistance Band,3x9,24 min,Medium,Improve balance
1662,Quad Sets,Ankle,Chronic Pain,Dumbbell,2x12,20 min,Low,Rehabilitation
1663,Neck Stretch,Neck,Muscle Weakness,Mat,2x12,14 min,Low,Improve balance
1664,Finger Stretch,Arm,Mobility Issue,Wall,4x17,10 min,Low,Rehabilitation
1665,Arm Circles,Core,Sports Injury,Resistance Band,2x16,7 min,High,Strengthen muscles
1666,Wall Push-Ups,Ankle,Post Surgery,Chair,2x8,19 min,Low,Strengthen muscles
1667,Wall Push-Ups,Core,Stiffness,Dumbbell,2x16,12 min,High,Strengthen muscles
1668,Heel Slides,Ankle,Stroke Recovery,Wall,3x13,5 min,High,Reduce pain
1669,Bridging,Arm,Mobility Issue,Resistance Band,3x18,7 min,Medium,Increase flexibility
1670,Wall Push-Ups,Core,Post Fracture,Mat,3x11,13 min,Medium,Improve circulation
1671,Quad Sets,Shoulder,Muscle Weakness,Dumbbell,4x14,22 min,Low,Reduce pain
1672,Hamstring Curl,Shoulder,Arthritis,Mat,3x9,19 min,Medium,Improve balance
1673,Knee Extensions,Hip,Post Surgery,Mat,4x16,7 min,Low,Improve mobility
1674,Seated Marching,Ankle,Sports Injury,Resistance Band,4x9,7 min,High,Improve mobility
1675,Neck Stretch,Shoulder,Post Surgery,Dumbbell,4x8,8 min,Medium,Rehabilitation
1676,Hamstring Curl,Neck,Muscle Weakness,Wall,5x12,14 min,High,Increase flexibility
1677,Knee Extensions,Wrist,Post Fracture,Dumbbell,3x11,9 min,Medium,Increase flexibility
1678,Knee Extensions,Hip,Stiffness,Wall,5x20,12 min,High,Improve mobility
1679,Wrist Flexion,Ankle,Stroke Recovery,Ball,2x14,9 min,High,Rehabilitation
1680,Pelvic Tilt,Hip,Mobility Issue,None,5x12,17 min,Medium,Reduce pain
1681,Finger Stretch,Leg,Post Surgery,Chair,5x14,5 min,Low,Rehabilitation
1682,Hamstring Curl,Hip,Stroke Recovery,Ball,2x15,16 min,High,Rehabilitation
1683,Toe Raises,Back,Chronic Pain,Resistance Band,4x9,11 min,Low,Improve circulation
1684,Seated Marching,Knee,Lower Back Pain,Dumbbell,2x17,8 min,High,Increase flexibility
1685,Seated Marching,Leg,Stroke Recovery,None,3x8,14 min,Low,Increase flexibility
1686,Seated Marching,Core,Arthritis,Chair,5x11,20 min,Medium,Improve balance
1687,Ankle Pumps,Core,Chronic Pain,None,3x19,25 min,Medium,Rehabilitation
1688,Quad Sets,Shoulder,Arthritis,Resistance Band,4x13,19 min,Low,Improve mobility
1689,Heel Slides,Ankle,Arthritis,Resistance Band,4x19,13 min,Low,Strengthen muscles
1690,Seated Marching,Neck,Chronic Pain,Mat,3x16,19 min,High,Strengthen muscles
1691,Lunges,Neck,Post Fracture,Ball,2x19,16 min,High,Increase flexibility
1692,Heel Slides,Back,Stiffness,None,3x8,24 min,Medium,Improve mobility
1693,Wall Push-Ups,Back,Lower Back Pain,None,5x11,8 min,Low,Strengthen muscles
1694,Heel Slides,Shoulder,Sports Injury,Wall,3x20,8 min,Low,Reduce pain
1695,Knee Extensions,Neck,Post Fracture,Chair,5x8,23 min,Medium,Improve circulation
1696,Arm Circles,Arm,Mobility Issue,Ball,5x15,12 min,Medium,Improve balance
1697,Calf Raises,Arm,Stroke Recovery,None,4x19,20 min,Medium,Rehabilitation
1698,Knee Extensions,Hip,Post Surgery,Wall,4x13,11 min,Medium,Strengthen muscles
1699,Pelvic Tilt,Back,Stiffness,None,4x16,18 min,Medium,Reduce pain
1700,Wall Push-Ups,Leg,Arthritis,Wall,3x9,7 min,Low,Improve mobility
1701,Quad Sets,Core,Sports Injury,Ball,2x19,18 min,High,Strengthen muscles
1702,Quad Sets,Wrist,Post Surgery,Mat,3x12,8 min,High,Strengthen muscles
1703,Heel Slides,Back,Post Surgery,None,2x20,6 min,High,Strengthen muscles
1704,Quad Sets,Neck,Chronic Pain,Chair,3x12,9 min,High,Reduce pain
1705,Lunges,Arm,Post Fracture,Wall,3x20,15 min,Low,Strengthen muscles
1706,Arm Circles,Leg,Post Surgery,Chair,4x13,24 min,High,Strengthen muscles
1707,Pelvic Tilt,Leg,Sports Injury,Mat,3x13,16 min,Low,Strengthen muscles
1708,Hip Abduction,Core,Post Fracture,Chair,3x14,21 min,Medium,Increase flexibility
1709,Hip Abduction,Hip,Post Surgery,Wall,4x13,13 min,Medium,Improve balance
1710,Wrist Flexion,Neck,Post Fracture,Chair,2x18,13 min,High,Increase flexibility
1711,Knee Extensions,Wrist,Mobility Issue,Resistance Band,3x8,10 min,High,Strengthen muscles
1712,Wrist Flexion,Shoulder,Chronic Pain,Chair,2x15,5 min,Low,Increase flexibility
1713,Shoulder Flexion,Wrist,Lower Back Pain,Chair,4x9,10 min,Low,Rehabilitation
1714,Hip Abduction,Neck,Muscle Weakness,Mat,4x17,19 min,Low,Improve balance
1715,Ankle Pumps,Leg,Chronic Pain,Resistance Band,2x10,17 min,High,Improve circulation
1716,Finger Stretch,Back,Chronic Pain,Ball,3x8,13 min,Medium,Reduce pain
1717,Pelvic Tilt,Knee,Arthritis,Dumbbell,2x12,24 min,High,Improve mobility
1718,Quad Sets,Hip,Chronic Pain,None,2x10,8 min,Low,Increase flexibility
1719,Wall Push-Ups,Back,Mobility Issue,None,3x15,22 min,Medium,Strengthen muscles
1720,Quad Sets,Knee,Chronic Pain,Mat,2x18,6 min,Low,Reduce pain
1721,Trunk Rotation,Knee,Arthritis,Wall,5x16,17 min,Low,Improve mobility
1722,Seated Marching,Knee,Post Surgery,None,3x13,23 min,High,Increase flexibility
1723,Ankle Pumps,Arm,Post Fracture,Wall,5x10,5 min,Medium,Reduce pain
1724,Hip Abduction,Shoulder,Lower Back Pain,Ball,4x20,11 min,Low,Rehabilitation
1725,Trunk Rotation,Arm,Post Surgery,Dumbbell,5x12,17 min,Low,Increase flexibility
1726,Hamstring Curl,Leg,Lower Back Pain,Wall,2x19,6 min,Low,Improve mobility
1727,Hamstring Curl,Leg,Post Surgery,Resistance Band,2x18,23 min,Low,Reduce pain
1728,Ankle Pumps,Shoulder,Stiffness,Chair,5x14,16 min,Medium,Rehabilitation
1729,Finger Stretch,Knee,Chronic Pain,Mat,3x17,22 min,Medium,Improve circulation
1730,Calf Raises,Back,Post Surgery,Resistance Band,4x14,12 min,High,Increase flexibility
1731,Sit to Stand,Leg,Mobility Issue,Mat,2x18,23 min,High,Increase flexibility
1732,Bridging,Hip,Stiffness,Resistance Band,3x15,20 min,Low,Rehabilitation
1733,Hamstring Curl,Leg,Chronic Pain,Wall,2x20,25 min,High,Improve mobility
1734,Toe Raises,Shoulder,Post Surgery,Wall,2x17,22 min,Low,Improve mobility
1735,Shoulder Flexion,Wrist,Post Surgery,Ball,4x14,16 min,Low,Improve balance
1736,Lunges,Neck,Muscle Weakness,Dumbbell,5x17,15 min,Medium,Increase flexibility
1737,Wrist Flexion,Ankle,Chronic Pain,None,2x10,10 min,Medium,Increase flexibility
1738,Shoulder Flexion,Shoulder,Stiffness,Chair,4x12,21 min,High,Improve mobility
1739,Calf Raises,Back,Stroke Recovery,Ball,5x8,16 min,High,Improve circulation
1740,Neck Stretch,Shoulder,Stiffness,Mat,4x10,10 min,Medium,Improve circulation
1741,Lunges,Shoulder,Sports Injury,Mat,2x15,21 min,High,Improve balance
1742,Wrist Flexion,Back,Stroke Recovery,Wall,3x16,17 min,Low,Improve mobility
1743,Finger Stretch,Neck,Chronic Pain,Ball,2x10,9 min,Medium,Rehabilitation
1744,Hip Abduction,Leg,Lower Back Pain,Wall,2x9,16 min,Medium,Improve circulation
1745,Neck Stretch,Back,Muscle Weakness,Mat,4x11,10 min,Medium,Strengthen muscles
1746,Wall Push-Ups,Leg,Stiffness,None,5x12,11 min,Low,Improve balance
1747,Seated Marching,Neck,Sports Injury,Resistance Band,3x13,20 min,High,Improve mobility
1748,Wall Push-Ups,Hip,Stiffness,None,4x20,15 min,Low,Improve mobility
1749,Finger Stretch,Knee,Chronic Pain,Resistance Band,2x18,13 min,High,Rehabilitation
1750,Wall Push-Ups,Back,Sports Injury,Ball,3x12,6 min,Medium,Reduce pain
1751,Sit to Stand,Ankle,Post Fracture,Dumbbell,4x14,21 min,Low,Improve circulation
1752,Lunges,Knee,Post Surgery,Resistance Band,5x13,16 min,High,Increase flexibility
1753,Calf Raises,Leg,Post Surgery,Wall,2x16,17 min,Low,Reduce pain
1754,Wrist Flexion,Neck,Lower Back Pain,Ball,5x8,6 min,Medium,Strengthen muscles
1755,Sit to Stand,Hip,Stiffness,Ball,3x14,8 min,Low,Rehabilitation
1756,Sit to Stand,Leg,Post Surgery,None,2x13,16 min,High,Rehabilitation
